Country,Region,CO2_Emissions_PerCapita,SPI_Score,Under5_Mortality,Life_Expectancy,Women_in_Parliament_Pct,Vaccination_Coverage_Pct,Obesity_Rate_Pct
Chad,Sub-Saharan Africa,0.171,56.37,101.13,55.069,25.9,63,6.7
Togo,Sub-Saharan Africa,0.293,66.1,58.29,62.739,19.8,72,11.6
Thailand,East & South Asia,3.685,81.07,9.21,76.412,16.6,92,15.4
Tajikistan,E. Europe & C. Asia,0.901,48.61,27.32,71.79,27,96,23.8
Turkmenistan,E. Europe & C. Asia,9.787,30.72,39.95,70.073,25.9,98,21.4
Timor-Leste,East & South Asia,0.468,62.14,49.95,67.689,40,72,2.4
Tonga,Oceania,1.857,61.21,9.93,72.895,7.1,99,71.7
Trinidad and Tobago,LAC,22.384,56.11,19.07,73.49,28.6,90,28.1
Tunisia,MENA,2.644,75.8,12.91,76.508,,96,26.8
Türkiye,OECD,5.048,86.68,12.79,77.156,17.4,95,33.3
Tuvalu,Oceania,1.013,42.36,19.89,67.105,6.3,94,64.2
Tanzania,Sub-Saharan Africa,0.272,69.85,38.86,66.995,37.4,91,12.6
Uganda,Sub-Saharan Africa,0.117,71.96,38.81,68.252,33.8,91,7.9
Ukraine,E. Europe & C. Asia,3.783,78.74,8.07,73.422,20.4,83,23.6
Uruguay,LAC,2.298,81.1,6.66,78.138,26.3,95,33.3
United States,OECD,14.484,93.43,6.48,79.304,29.4,92,42
Uzbekistan,E. Europe & C. Asia,3.575,80.33,13.32,72.388,33.6,99,30
St. Vincent and the Grenadines,LAC,2.285,52.39,10.64,71.23,18.2,90,33.2
"Venezuela, RB",LAC,3.487,39.39,24.26,72.514,,54,22.7
Vietnam,East & South Asia,3.397,72.29,20.05,74.588,30.3,65,2
Vanuatu,Oceania,0.684,51.1,16.8,71.477,1.9,70,21.3
Samoa,Oceania,1.146,63.77,15.7,71.698,13,83,62.4
"Yemen, Rep.",MENA,0.295,35.7,39.25,69.295,0,45,13.7
South Africa,Sub-Saharan Africa,6.683,82.37,34.65,66.139,46.3,79,30.8
Zambia,Sub-Saharan Africa,0.382,62.5,44.72,66.349,15,80,11.1
Zimbabwe,Sub-Saharan Africa,0.677,69.73,44.21,62.775,30.6,90,14.2
BRICS,,5.406,68.5,16.56,74.796,20.2,93.4,10.3
BRICSplus members,,5.086,69.4,17.7,74.289,20.9,91.8,11.4
East and South Asia,,4.308,69.06,20.76,73.992,20.5,90.8,9
Eastern Europe and Central Asia,,7.298,77.31,13.68,72.826,22.8,88.3,24.4
High-income Countries,,10.029,90.41,4.65,80.478,27.7,93.1,25.8
Latin America and the Caribbean,,2.414,74.39,16.44,75.227,25.9,80.1,28.2
Low-income Countries,,0.276,56.62,59.37,64.994,26.1,62.8,9.4
Lower-middle-income Countries,,1.626,71.12,37.41,69.667,18.5,85,11.8
Middle East and North Africa,,6.192,66.07,17.59,74.714,17.2,90.2,32.3
OECD members,,8.215,91.78,6.02,80.569,30.9,91.2,26.7
Oceania,,0.862,47.33,36.98,66.776,3.1,45,23.5
Small Island Developing States,,3.17,58.65,29.13,72.138,22.4,76.2,21.4
Sub-Saharan Africa,,0.659,62.33,66.01,62.624,24.3,69.2,11
Upper-middle-income Countries,,6.196,69.05,11.09,76.229,25,91.5,16.4
World,,4.567,72.46,24.43,73.429,23.1,86.7,15.6
